T(K),B(Oe),B(T),Cp(mu J/K)
2.4143089,3999.659,0.3999659,9.3394925
2.4202971,3999.659,0.3999659,9.619501
2.4257615,3999.659,0.3999659,9.1598942
2.4311707,3999.659,0.3999659,8.9804105
2.4363198,3999.659,0.3999659,8.9977447
2.4412692,3999.659,0.3999659,8.5696562
2.4458593,3999.659,0.3999659,8.0269776
2.4504702,3999.659,0.3999659,7.8161609
2.4543628,3999.659,0.3999659,8.2913958
2.458553,3999.659,0.3999659,7.5842888
2.4621852,3999.659,0.3999659,7.9539913
2.4659548,3999.659,0.3999659,6.8797889
2.469065,3999.659,0.3999659,6.9821476
2.4723806,3999.659,0.3999659,5.9954302
2.475675,3999.659,0.3999659,6.4678203
2.4783401,3999.659,0.3999659,5.8335558
2.4814774,3999.659,0.3999659,5.5302368
2.4839872,3999.659,0.3999659,4.4911795
2.4868236,3999.659,0.3999659,4.4145815
2.4889049,3999.659,0.3999659,4.139448
2.491573,3999.659,0.3999659,3.3905494
2.4939362,3999.659,0.3999659,3.0293485
2.4959873,3999.659,0.3999659,2.4299883
2.4976337,3999.659,0.3999659,2.2729164
2.4994226,3999.659,0.3999659,1.7224811
2.5016252,3999.659,0.3999659,0.9334248
2.5028225,3999.659,0.3999659,0.46133004
2.5044215,3999.659,0.3999659,-0.25901123
2.5056996,3999.659,0.3999659,-0.82750436
2.507216,3999.659,0.3999659,-1.9073188
0.72977544,5999.697,0.5999697,17.261678
0.77835756,5999.697,0.5999697,19.368174
0.82115804,5999.697,0.5999697,21.321419
0.85967176,5999.697,0.5999697,23.265732
0.89464353,5999.697,0.5999697,25.198565
0.92660269,5999.697,0.5999697,27.187843
0.95594775,5999.697,0.5999697,29.22606
0.9829514,5999.697,0.5999697,31.342242
1.0078182,5999.697,0.5999697,33.689108
1.0307407,5999.697,0.5999697,36.272208
1.051752,5999.697,0.5999697,39.235748
1.0707925,5999.697,0.5999697,43.099936
1.0878976,5999.697,0.5999697,48.000877
1.1038348,5999.697,0.5999697,51.898457
1.1192799,5999.697,0.5999697,52.927997
1.1344592,5999.697,0.5999697,51.104793
1.149798,5999.697,0.5999697,47.614869
1.1657175,5999.697,0.5999697,44.627128
1.1823995,5999.697,0.5999697,43.466561
1.1993616,5999.697,0.5999697,43.24741
1.2161805,5999.697,0.5999697,43.375889
1.2328296,5999.697,0.5999697,43.861462
1.2489975,5999.697,0.5999697,44.816374
1.2648213,5999.697,0.5999697,45.605929
1.2810881,5999.697,0.5999697,44.355477
1.2982669,5999.697,0.5999697,40.867576
1.316526,5999.697,0.5999697,36.714775
1.3361312,5999.697,0.5999697,32.720744
1.3573564,5999.697,0.5999697,29.887508
1.3802083,5999.697,0.5999697,28.197805
1.4040448,5999.697,0.5999697,26.990936
